id,name,category,origin,summary,path,tags,related_names,related_paths,section_names
,---,behavioral,"Edward Deci & Richard Ryan, 1985","Self-determination theory explains how motivation becomes more sustainable and effective when the needs for autonomy, competence, and relatedness are supported.",models/behavioral/self-determination-theory.md,motivation|autonomy|competence|belonging|behavior,Operant Conditioning|Growth Mindset|Habit Loop,models/behavioral/operant-conditioning.md|models/developmental/growth-mindset.md|models/behavioral/habit-loop.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,behavioral,"Daryl Bem, 1972","People infer their own attitudes and preferences by observing their behavior, especially when their internal state is ambiguous or weakly formed.",models/behavioral/self-perception-theory.md,identity|inference|attitude|behavior|self-observation,Habit Loop|Cognitive Dissonance|Metacognition,models/behavioral/habit-loop.md|models/cognitive/cognitive-dissonance.md|models/cognitive/metacognition.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,behavioral,"Katherine Milkman, Julia Minson, & Kevin Volpp, 2014",Temptation bundling pairs an immediately rewarding activity with a beneficial but effortful behavior so the reward helps pull the desired behavior into action.,models/behavioral/temptation-bundling.md,motivation|habit|reward|self-control|commitment,Habit Loop|Operant Conditioning|Loss Aversion,models/behavioral/habit-loop.md|models/behavioral/operant-conditioning.md|models/decision/loss-aversion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"Stanley Milgram, 1963; Robert Cialdini, 1984",People tend to comply with or believe the directives and opinions of perceived authority figures — even when those directives conflict with personal judgment or ethics.,models/social/authority-bias.md,authority|compliance|trust|deference|influence,Social Proof|Confirmation Bias,models/social/social-proof.md|models/cognitive/confirmation-bias.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"Solomon Asch, 1951","Conformity is the tendency to align beliefs or behavior with group norms, either to fit in socially or because the group is treated as a source of information.",models/social/conformity.md,conformity|pressure|groups|norms|influence,Social Proof|Authority Bias|Bandwagon Effect,models/social/social-proof.md|models/social/authority-bias.md|models/decision/bandwagon-effect.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"John Darley & Bibb Latane, 1968","Diffusion of responsibility is the tendency for individual action to decrease when multiple people are present, because each person assumes someone else will act.",models/social/diffusion-of-responsibility.md,responsibility|bystander|groups|inaction|social,Conformity|Groupthink|Social Proof,models/social/conformity.md|models/social/groupthink.md|models/social/social-proof.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"Irving Janis, 1972","Groupthink is a failure mode where the desire for harmony and consensus suppresses dissent, critical evaluation, and realistic appraisal inside a decision-making group.",models/social/groupthink.md,groups|consensus|conformity|decisions|pressure,Conformity|Authority Bias|Confirmation Bias,models/social/conformity.md|models/social/authority-bias.md|models/cognitive/confirmation-bias.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"Henri Tajfel, 1970","In-group bias is the tendency to favor people perceived as part of one's own group in trust, evaluation, empathy, and resource allocation.",models/social/in-group-bias.md,identity|bias|groups|favoritism|belonging,Conformity|Confirmation Bias|Groupthink,models/social/conformity.md|models/cognitive/confirmation-bias.md|models/social/groupthink.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"Alvin Gouldner, 1960; Robert Cialdini, 1984","Reciprocity is the social rule that receiving value, help, or concession creates pressure to return something in kind, making exchange and influence more likely.",models/social/reciprocity.md,reciprocity|obligation|exchange|influence|cooperation,Social Proof|Authority Bias|Loss Aversion,models/social/social-proof.md|models/social/authority-bias.md|models/decision/loss-aversion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,social,"Robert Cialdini, 1984","People look to the behavior of others to determine the correct course of action — especially in ambiguous situations. The more people doing something, the more correct it appears.",models/social/social-proof.md,influence|conformity|behavior|uncertainty|persuasion,Authority Bias|Confirmation Bias,models/social/authority-bias.md|models/cognitive/confirmation-bias.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,emotional,"Fritz Heider, 1958; Bernard Weiner, 1970s","Attribution theory explains how people interpret the causes of events, and how those explanations shape emotion, motivation, and future behavior.",models/emotional/attribution-theory.md,attribution|emotion|explanation|success|failure,Imposter Syndrome|Metacognition|Self-Perception Theory,models/emotional/imposter-syndrome.md|models/cognitive/metacognition.md|models/behavioral/self-perception-theory.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,emotional,"Wolfram Schultz, 1997",Dopamine reward prediction describes how the brain updates motivation and learning based on the gap between expected reward and actual reward.,models/emotional/dopamine-reward-prediction.md,dopamine|reward|prediction|learning|motivation,Operant Conditioning|Habit Loop|Affect Heuristic,models/behavioral/operant-conditioning.md|models/behavioral/habit-loop.md|models/decision/affect-heuristic.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,emotional,"Elaine Hatfield, John Cacioppo, & Richard Rapson, 1993","Emotional contagion is the spread of affect from one person or group to another through automatic mimicry, synchronization, and shared interpretation.",models/emotional/emotional-contagion.md,emotion|contagion|empathy|groups|affect,Social Proof|Affect Heuristic|Groupthink,models/social/social-proof.md|models/decision/affect-heuristic.md|models/social/groupthink.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,emotional,"Brickman & Campbell, 1971",Hedonic adaptation is the tendency for emotional reactions to gains and losses to fade over time as people return toward a relatively stable baseline of well-being.,models/emotional/hedonic-adaptation.md,adaptation|happiness|emotion|baseline|change,Negativity Bias|Loss Aversion|Habit Loop,models/emotional/negativity-bias.md|models/decision/loss-aversion.md|models/behavioral/habit-loop.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,emotional,"Pauline Clance & Suzanne Imes, 1978","A persistent internal experience of feeling like a fraud — believing one's success is due to luck or deception rather than genuine ability, despite objective evidence of competence.",models/emotional/imposter-syndrome.md,self-doubt|competence|achievement|anxiety|identity,Dunning-Kruger Effect|Metacognition,models/cognitive/dunning-kruger.md|models/cognitive/metacognition.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,emotional,"Paul Rozin & Edward Royzman, 2001","Negativity bias is the tendency for negative events, cues, and emotions to command more attention, carry more weight, and persist longer than positive ones.",models/emotional/negativity-bias.md,emotion|bias|threat|attention|memory,Loss Aversion|Availability Heuristic|Emotional Contagion,models/decision/loss-aversion.md|models/cognitive/availability-heuristic.md|models/emotional/emotional-contagion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"Paul Slovic, Melissa Finucane, Ellen Peters, & Donald MacGregor, 2002","The affect heuristic is the tendency to let immediate positive or negative feelings stand in for slower analysis when judging risks, benefits, and choices.",models/decision/affect-heuristic.md,emotion|risk|judgment|intuition|valuation,Availability Heuristic|Framing Effect|Loss Aversion,models/cognitive/availability-heuristic.md|models/decision/framing-effect.md|models/decision/loss-aversion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"Harvey Leibenstein, 1950","The bandwagon effect is the tendency to adopt beliefs, products, or behaviors because many other people appear to be adopting them.",models/decision/bandwagon-effect.md,popularity|conformity|adoption|trend|social-influence,Social Proof|Authority Bias|Availability Heuristic,models/social/social-proof.md|models/social/authority-bias.md|models/cognitive/availability-heuristic.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"Amos Tversky & Daniel Kahneman, 1981","The framing effect is the tendency for logically equivalent choices to produce different decisions depending on whether they are presented as gains, losses, or other contextual narratives.",models/decision/framing-effect.md,framing|choice|risk|language|decision-making,Loss Aversion|Anchoring Effect|Availability Heuristic,models/decision/loss-aversion.md|models/cognitive/anchoring-effect.md|models/cognitive/availability-heuristic.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"Daniel Kahneman & Amos Tversky, 1979","Losses feel approximately twice as painful as equivalent gains feel good — causing people to make irrational decisions to avoid loss, even when the expected value favors accepting it.",models/decision/loss-aversion.md,risk|loss|gain|prospect-theory|decision-making,Anchoring Effect|Cognitive Dissonance,models/cognitive/anchoring-effect.md|models/cognitive/cognitive-dissonance.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"Hermann Ebbinghaus, 1885; later decision and finance literature","Recency bias is the tendency to overweight the most recent information or experiences when judging patterns, making forecasts, or choosing what to do next.",models/decision/recency-bias.md,memory|timing|judgment|trend|forecasting,Availability Heuristic|Anchoring Effect|Framing Effect,models/cognitive/availability-heuristic.md|models/cognitive/anchoring-effect.md|models/decision/framing-effect.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"William Samuelson & Richard Zeckhauser, 1988","Status quo bias is the tendency to prefer the current state of affairs, defaults, or existing arrangements even when alternatives may be objectively better.",models/decision/status-quo-bias.md,inertia|default|change|preference|risk,Loss Aversion|Sunk Cost Fallacy|Anchoring Effect,models/decision/loss-aversion.md|models/decision/sunk-cost-fallacy.md|models/cognitive/anchoring-effect.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,decision,"Richard Thaler, 1980; Arkes & Blumer, 1985","The sunk cost fallacy is the tendency to continue a failing course of action because past time, money, or effort has already been invested and abandoning it would make the loss feel real.",models/decision/sunk-cost-fallacy.md,escalation|commitment|loss|investment|persistence,Loss Aversion|Cognitive Dissonance|Status Quo Bias,models/decision/loss-aversion.md|models/cognitive/cognitive-dissonance.md|models/decision/status-quo-bias.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"John Bowlby, 1969; Mary Ainsworth, 1978","Attachment theory explains how early caregiver relationships shape internal expectations about safety, closeness, and regulation, influencing later relationships across development.",models/developmental/attachment-theory.md,attachment|relationships|development|security|caregiving,Erikson's Psychosocial Development|Emotional Contagion|Imposter Syndrome,models/developmental/erikson-psychosocial-development.md|models/emotional/emotional-contagion.md|models/emotional/imposter-syndrome.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"Erik Erikson, 1950","Erikson's psychosocial development model describes human development as a series of life stages, each centered on a core psychological conflict whose resolution shapes later identity and relationships.",models/developmental/erikson-psychosocial-development.md,identity|lifespan|stages|development|socialization,Imposter Syndrome|Piaget's Cognitive Development|Growth Mindset,models/emotional/imposter-syndrome.md|models/developmental/piaget-cognitive-development.md|models/developmental/growth-mindset.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"Carol Dweck, 2006","A growth mindset is the belief that ability can be developed through effort, strategy, and feedback, which changes how people respond to challenge, failure, and learning.",models/developmental/growth-mindset.md,mindset|learning|ability|effort|development,Zone of Proximal Development|Dunning-Kruger Effect|Imposter Syndrome,models/developmental/zone-of-proximal-development.md|models/cognitive/dunning-kruger.md|models/emotional/imposter-syndrome.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"Jean Piaget, 1936",Piaget's cognitive development model describes how children's thinking changes through qualitatively different stages as they mature and interact with the world.,models/developmental/piaget-cognitive-development.md,development|learning|stages|cognition|childhood,Zone of Proximal Development|Metacognition|Growth Mindset,models/developmental/zone-of-proximal-development.md|models/cognitive/metacognition.md|models/developmental/growth-mindset.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"Albert Bandura, 1977","Social learning theory explains how people develop behavior and expectations by observing others, modeling what is seen, and updating based on consequences without needing direct trial-and-error for every lesson.",models/developmental/social-learning-theory.md,learning|imitation|modeling|development|observation,Zone of Proximal Development|Conformity|Operant Conditioning,models/developmental/zone-of-proximal-development.md|models/social/conformity.md|models/behavioral/operant-conditioning.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"Premack & Woodruff, 1978; Wimmer & Perner, 1983","Theory of mind is the developmental capacity to understand that other people have beliefs, knowledge, intentions, and perspectives that can differ from one's own.",models/developmental/theory-of-mind.md,development|perspective|beliefs|social-cognition|learning,Social Learning Theory|Attachment Theory|Metacognition,models/developmental/social-learning-theory.md|models/developmental/attachment-theory.md|models/cognitive/metacognition.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,developmental,"Lev Vygotsky, 1934","The zone of proximal development describes the gap between what a learner can do alone and what they can do with guidance, making it a model for how support accelerates development.",models/developmental/zone-of-proximal-development.md,learning|scaffolding|teaching|development|capability,Piaget's Cognitive Development|Metacognition|Habit Loop,models/developmental/piaget-cognitive-development.md|models/cognitive/metacognition.md|models/behavioral/habit-loop.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
